id,PROV,FATTURATO,DIPENDEN,UTILE,MEZZITER,COSTOLAV
1,PA,2086,,3,89,45
2,PA,2402,29,4,4463,435
3,PA,14909,,494,0,11869
4,TP,6349,10,-39,515,724
5,CT,3926,2,-17,157,190
6,RG,5081,34,74,1000,1376
7,CL,3614,1,28,56,896
8,RG,7066,39,-23,600,808
9,CT,3004,,20,860,271
10,CT,2334,3,33,0,104
11,AG,2624,,-408,67,482
12,PA,2444,3,-44,332,83
13,PA,2416,2,20,599,912
14,CT,17790,15,91,5901,616
15,PA,4689,,4,425,509
16,RG,2224,1,72,14,41
17,PA,3388,13,185,60,232
18,SR,2540,4,49,181,132
19,AG,2206,26,0,536,541
20,CT,6574,150,444,0,4508
21,ME,2446,,46,0,160
22,PA,7695,29,-23,147,808
23,AG,8863,25,42,0,3206
24,PA,3689,38,226,183,1473
25,TP,33910,30,103,3243,1093
26,TP,2405,,-5,3504,0
27,PA,7391,15,50,206,854
28,CL,3244,7,19,500,341
29,CT,82925,288,-247,18153,9815
30,CT,6579,36,227,911,2010
31,AG,11099,19,118,0,645
32,PA,2380,,87,451,460
33,PA,6039,4,18,6350,570
34,SR,19127,33,-2977,6769,1738
35,PA,4837,2,16,119,117
36,CT,2956,2,39,1275,442
37,TP,2134,10,14,0,281
38,ME,3254,,31,489,395
39,AG,7264,9,83,2875,577
40,AG,14815,15,-130,2951,504
41,PA,10340,1,-705,38218,0
42,CT,7771,2,8,325,161
43,ME,4784,24,422,0,1211
44,CT,4461,1,115,153,295
45,SR,10295,37,1135,2131,1912
46,PA,13375,,44,2115,847
47,PA,2817,3,-71,451,246
48,PA,20904,25,331,4604,1274
49,PA,3688,,-23,365,1298
50,EN,7725,61,-25,2985,672
51,CT,8987,10,-179,825,631
52,RG,3196,10,125,3831,389
53,TP,2089,,223,1289,0
54,ME,2555,13,46,268,489
55,AG,5836,10,30,1164,256
56,PA,4735,4,223,3178,586
57,CT,3592,2,-92,4,129
58,ME,2877,5,-4,1525,136
59,PA,31339,30,149,4988,1617
60,PA,2335,1,1,0,6
61,AG,3099,30,-13,0,1761
62,PA,12261,7,23,297,419
63,CT,6275,21,41,132,617
64,CT,5473,23,-195,296,676
65,PA,2948,25,-425,4368,320
66,PA,7817,6,0,224,179
67,PA,10380,25,76,3655,835
68,CT,20884,23,271,1861,1171
69,CT,2238,,-26,75,573
70,CT,5292,24,3,1164,1177
71,EN,4106,49,8,2294,874
72,PA,6410,49,417,1697,2775
73,ME,3400,,-21,12,0
74,AG,3783,,0,1299,787
75,CL,3457,10,12,769,167
