"DATA" "andata" "golcasa" "golfuori" "diff" "ris" "U.O" "CASA" "TRASFERTA" "p1" "px" "p2" "q1" "qx" "q2" "qris" "QUOTAU" "QUOTAO"
"1" 37864 1 2 2 0 "0" "O" "REGGINA" "SAMPDORIA" 0.400738689174934 0.31486611248235 0.284395198342715 2.2 2.8 3.1 2.8 1.55 2.02
"2" 37865 1 2 2 0 "0" "O" "PERUGIA" "SIENA" 0.576079005243369 0.277980979838123 0.145940014918508 1.52 3.15 6 3.15 1.65 1.87
"3" 37865 1 1 2 -1 "-1" "O" "UDINESE" "ROMA" 0.338983051071531 0.29378531034109 0.367231638587379 2.6 3 2.4 2.4 1.75 1.76
"4" 37865 1 2 0 2 "1" "U" "INTER" "MODENA" 0.734364019468351 0.185523542020159 0.0801124385114902 1.2 4.75 11 1.2 2.02 1.55
"5" 37865 1 4 1 3 "1" "O" "LAZIO" "LECCE" 0.68052930056878 0.221172022751205 0.0982986766800147 1.3 4 9 1.3 1.94 1.6
"6" 37865 1 2 2 0 "0" "O" "BOLOGNA" "PARMA" 0.411625014039099 0.316069207129576 0.272305778831325 2.15 2.8 3.25 2.8 1.65 1.87
"7" 37865 1 5 1 4 "1" "O" "JUVENTUS" "EMPOLI" 0.745360705917539 0.181345491352959 0.0732938027295016 1.18 4.85 12 1.18 1.98 1.57
"8" 37865 1 1 1 0 "0" "U" "BRESCIA" "CHIEVO" 0.374514191522274 0.293369449659069 0.332116358818657 2.35 3 2.65 3 1.65 1.87
"9" 37866 1 0 2 -2 "-1" "U" "ANCONA" "MILAN" 0.184807154011961 0.283172251690343 0.532020594297696 4.75 3.1 1.65 1.65 1.7 1.81
"10" 37878 1 1 2 -1 "-1" "O" "SAMPDORIA" "LAZIO" 0.297782963856621 0.302917152570568 0.399299883572811 2.95 2.9 2.2 2.2 1.87 1.65
"11" 37878 1 2 1 1 "1" "O" "MILAN" "BOLOGNA" 0.70016474476643 0.196046128252294 0.103789126981276 1.26 4.5 8.5 1.26 1.91 1.62
"12" 37879 1 5 0 5 "1" "O" "ROMA" "BRESCIA" 0.686024249879352 0.204211870139952 0.109763879980696 1.28 4.3 8 1.28 2.21 1.45
"13" 37879 1 1 1 0 "0" "U" "EMPOLI" "REGGINA" 0.464344941791551 0.315091210658955 0.220563847549494 1.9 2.8 4 2.8 1.55 2.02
"14" 37879 1 1 2 -1 "-1" "O" "CHIEVO" "JUVENTUS" 0.204620462371436 0.283828382579841 0.511551155048723 4.3 3.1 1.72 1.72 1.87 1.65
"15" 37879 1 0 1 -1 "-1" "U" "MODENA" "UDINESE" 0.359477123780063 0.320261438109968 0.320261438109968 2.45 2.75 2.75 2.75 1.65 1.87
"16" 37879 1 3 0 3 "1" "O" "PARMA" "PERUGIA" 0.549450549450549 0.274725274725275 0.175824175824176 1.6 3.2 5 1.6 1.81 1.7
"17" 37879 1 3 1 2 "1" "O" "LECCE" "ANCONA" 0.488908607316147 0.308784383336505 0.202307009347348 1.8 2.85 4.35 1.8 1.5 2.11
"18" 37879 1 0 1 -1 "-1" "U" "SIENA" "INTER" 0.195454545326612 0.293181817989917 0.511363636683471 4.5 3 1.72 1.72 1.87 1.65
"19" 37885 1 4 0 4 "1" "O" "SIENA" "EMPOLI" 0.45010383659202 0.302656027765732 0.247240135642248 1.95 2.9 3.55 1.95 1.63 1.9
"20" 37885 1 1 1 0 "0" "U" "ANCONA" "MODENA" 0.400738689174934 0.31486611248235 0.284395198342715 2.2 2.8 3.1 2.8 1.56 2
"21" 37886 1 0 0 0 "0" "U" "INTER" "SAMPDORIA" 0.636561071917741 0.234254474810083 0.129184453272176 1.38 3.75 6.8 3.75 1.87 1.65
"22" 37886 1 1 1 0 "0" "U" "PERUGIA" "MILAN" 0.243472723497012 0.282742517241869 0.473784759261119 3.6 3.1 1.85 3.1 1.71 1.8
"23" 37886 1 2 2 0 "0" "O" "JUVENTUS" "ROMA" 0.452235445668353 0.309424252206572 0.238340302125075 1.95 2.85 3.7 2.85 1.9 1.63
"24" 37886 1 4 4 0 "0" "O" "BRESCIA" "REGGINA" 0.449994617128392 0.319087092352994 0.230918290518614 1.95 2.75 3.8 2.75 1.63 1.9
"25" 37886 1 1 2 -1 "-1" "O" "LECCE" "CHIEVO" 0.382550335724003 0.308724832137998 0.308724832137998 2.3 2.85 2.85 2.85 1.73 1.78
"26" 37886 1 2 0 2 "1" "U" "BOLOGNA" "UDINESE" 0.428969359062026 0.319777158925265 0.251253482012708 2.05 2.75 3.5 2.05 1.65 1.87
"27" 37886 1 2 3 -1 "-1" "O" "LAZIO" "PARMA" 0.5322976291781 0.278822567288309 0.188879803533591 1.65 3.15 4.65 4.65 1.9 1.63
"28" 37892 1 0 0 0 "0" "U" "UDINESE" "INTER" 0.278816728805748 0.292757565377776 0.428425705816475 3.15 3 2.05 3 1.87 1.65
"29" 37892 1 0 2 -2 "-1" "U" "REGGINA" "JUVENTUS" 0.202604920210067 0.293777134613063 0.50361794517687 4.35 3 1.75 1.75 1.81 1.7
"30" 37893 1 2 0 2 "1" "U" "MODENA" "BOLOGNA" 0.352731591451026 0.326603325091013 0.320665083457961 2.5 2.7 2.75 2.5 1.6 1.94
"31" 37893 1 2 2 0 "0" "O" "EMPOLI" "LAZIO" 0.175824175824176 0.274725274725275 0.549450549450549 5 3.2 1.6 3.2 1.87 1.65
"32" 37893 1 3 0 3 "1" "O" "ROMA" "ANCONA" 0.777502902867885 0.159741505696390 0.0627555914357241 1.13 5.5 14 1.13 2.5 1.35
"33" 37893 1 4 1 3 "1" "O" "CHIEVO" "PERUGIA" 0.487804878391434 0.292682926508031 0.219512195100535 1.8 3 4 1.8 1.81 1.7
"34" 37893 1 1 1 0 "0" "U" "PARMA" "SIENA" 0.586666666631467 0.266666666490667 0.146666666877867 1.5 3.3 6 3.3 1.9 1.63
"35" 37893 1 3 0 3 "1" "O" "MILAN" "LECCE" 0.72688320121404 0.185163931439941 0.0879528673460193 1.21 4.75 10 1.21 1.94 1.6
"36" 37893 1 2 1 1 "1" "O" "SAMPDORIA" "BRESCIA" 0.50451306397657 0.299287411192703 0.196199524830727 1.75 2.95 4.5 1.75 1.71 1.8
"37" 37900 1 1 3 -2 "-1" "O" "INTER" "MILAN" 0.341463414785723 0.317073170428554 0.341463414785723 2.6 2.8 2.6 2.6 1.77 1.77
"38" 37900 1 0 3 -3 "-1" "O" "EMPOLI" "MODENA" 0.419941612185818 0.320682686118126 0.259375701696057 2.1 2.75 3.4 3.4 1.55 2.02
"39" 37900 1 1 0 1 "1" "U" "PARMA" "SAMPDORIA" 0.5167545183316 0.288027108232636 0.195218373435763 1.7 3.05 4.5 1.7 1.7 1.81
"40" 37900 1 0 0 0 "0" "U" "PERUGIA" "REGGINA" 0.489510489867866 0.314685314537435 0.195804195594699 1.8 2.8 4.5 2.8 1.68 1.83
"41" 37900 1 1 4 -3 "-1" "O" "LECCE" "BRESCIA" 0.428250112511979 0.313540260852208 0.258209626635813 2.05 2.8 3.4 3.4 1.6 1.94
"42" 37900 1 2 1 1 "1" "O" "JUVENTUS" "BOLOGNA" 0.676616915252216 0.219900497522941 0.103482587224843 1.3 4 8.5 1.3 1.65 1.87
"43" 37900 1 0 0 0 "0" "U" "SIENA" "ROMA" 0.196199524830727 0.299287411192703 0.50451306397657 4.5 2.95 1.75 2.95 1.8 1.71
"44" 37900 1 0 3 -3 "-1" "O" "ANCONA" "UDINESE" 0.304054054101717 0.304054054101717 0.391891891796567 2.9 2.9 2.25 2.25 1.63 1.9
"45" 37900 1 1 0 1 "1" "U" "LAZIO" "CHIEVO" 0.549450549450549 0.274725274725275 0.175824175824176 1.6 3.2 5 1.6 1.94 1.6
"46" 37913 1 2 2 0 "0" "O" "BRESCIA" "INTER" 0.228456914095577 0.308617234537681 0.462925851366742 3.85 2.85 1.9 2.85 1.7 1.81
"47" 37913 1 2 3 -1 "-1" "O" "ANCONA" "JUVENTUS" 0.125441696237186 0.247349823454975 0.627208480307839 7 3.55 1.4 1.4 1.75 1.76
"48" 37914 1 2 0 2 "1" "U" "MODENA" "LECCE" 0.501923076924766 0.302884615431067 0.195192307644167 1.75 2.9 4.5 1.75 1.68 1.83
"49" 37914 1 2 0 2 "1" "U" "ROMA" "PARMA" 0.566289140479387 0.258161225884228 0.175549633636385 1.55 3.4 5 1.55 2.02 1.55
"50" 37914 1 2 0 2 "1" "U" "UDINESE" "EMPOLI" 0.603882098738339 0.250179727020457 0.145938174241205 1.45 3.5 6 1.45 1.87 1.65
"51" 37914 1 1 1 0 "0" "U" "CHIEVO" "SAMPDORIA" 0.462925851366742 0.308617234537681 0.228456914095577 1.9 2.85 3.85 2.85 1.81 1.7
"52" 37914 1 1 0 1 "1" "U" "MILAN" "LAZIO" 0.487804878391434 0.292682926508031 0.219512195100535 1.8 3 4 1.8 1.81 1.7
"53" 37914 1 2 2 0 "0" "O" "BOLOGNA" "PERUGIA" 0.501386365767153 0.307868821331389 0.190744812901458 1.75 2.85 4.6 2.85 1.65 1.87
"54" 37914 1 2 1 1 "1" "O" "REGGINA" "SIENA" 0.428969359062026 0.319777158925265 0.251253482012708 2.05 2.75 3.5 2.05 1.65 1.87
"55" 37920 1 2 1 1 "1" "O" "SIENA" "LECCE" 0.501923076924766 0.302884615431067 0.195192307644167 1.75 2.9 4.5 1.75 1.65 1.87
"56" 37920 1 0 1 -1 "-1" "U" "EMPOLI" "CHIEVO" 0.325481798395297 0.308351177750892 0.36616702385381 2.7 2.85 2.4 2.4 1.68 1.83
"57" 37921 1 2 1 1 "1" "O" "LAZIO" "BOLOGNA" 0.606226854832879 0.258537923488025 0.135235221679096 1.45 3.4 6.5 1.45 1.8 1.71
"58" 37921 1 2 0 2 "1" "U" "JUVENTUS" "BRESCIA" 0.703776318660036 0.204586139554532 0.0916375417854323 1.25 4.3 9.6 1.25 1.8 1.71
"59" 37921 1 0 0 0 "0" "U" "REGGINA" "ANCONA" 0.58679541874722 0.262744217494011 0.150460363758769 1.5 3.35 5.85 3.35 1.65 1.87
"60" 37921 1 3 3 0 "0" "O" "PERUGIA" "UDINESE" 0.391608391534452 0.31468531481471 0.293706293650839 2.25 2.8 3 2.8 1.65 1.87
"61" 37921 1 0 0 0 "0" "U" "INTER" "ROMA" 0.401291513346777 0.304428044120815 0.294280442532409 2.2 2.9 3 2.9 1.87 1.65
"62" 37921 1 3 0 3 "1" "O" "PARMA" "MODENA" 0.585211902969578 0.266005410281114 0.148782686749307 1.5 3.3 5.9 1.5 1.8 1.71
"63" 37921 1 0 3 -3 "-1" "O" "SAMPDORIA" "MILAN" 0.255450341076774 0.303897819860749 0.440651839062477 3.45 2.9 2 2 1.65 1.87
"64" 37927 1 1 2 -1 "-1" "O" "UDINESE" "LAZIO" 0.319695528232460 0.313986679074442 0.366317792693097 2.75 2.8 2.4 2.4 1.7 1.81
"65" 37927 1 1 1 0 "0" "U" "MILAN" "JUVENTUS" 0.384167636942283 0.321303841902664 0.294528521155052 2.3 2.75 3 2.75 1.65 1.87
"66" 37928 1 1 0 1 "1" "U" "MODENA" "PERUGIA" NA NA NA NA NA NA NA NA NA
"67" 37928 1 0 2 -2 "-1" "U" "CHIEVO" "INTER" 0.252427184689038 0.294498381548214 0.453074433762749 3.5 3 1.95 1.95 1.83 1.68
"68" 37928 1 2 3 -1 "-1" "O" "BRESCIA" "PARMA" 0.319695528232460 0.313986679074442 0.366317792693097 2.75 2.8 2.4 2.4 1.76 1.75
"69" 37928 1 0 1 -1 "-1" "U" "BOLOGNA" "SAMPDORIA" 0.418322170161290 0.319446021297664 0.262231808541045 2.1 2.75 3.35 3.35 1.65 1.87
"70" 37928 1 2 0 2 "1" "U" "ROMA" "REGGINA" 0.76632801143017 0.160232220804100 0.07343976776573 1.15 5.5 12 1.15 2.21 1.45
"71" 37928 1 0 0 0 "0" "U" "ANCONA" "SIENA" 0.358791339290795 0.303116821170449 0.338091839538756 2.45 2.9 2.6 2.9 1.7 1.81
"72" 37928 1 2 1 1 "1" "O" "LECCE" "EMPOLI" 0.515364679942214 0.302110329500454 0.182524990557332 1.7 2.9 4.8 1.7 1.68 1.83
"73" 37934 1 0 0 0 "0" "U" "BRESCIA" "BOLOGNA" 0.450763730883303 0.308417289459208 0.240818979657489 1.95 2.85 3.65 2.85 1.71 1.8
"74" 37934 1 2 0 2 "1" "U" "SAMPDORIA" "EMPOLI" 0.627208480307839 0.247349823454975 0.125441696237186 1.4 3.55 7 1.4 1.83 1.68
"75" 37935 1 4 1 3 "1" "O" "JUVENTUS" "UDINESE" 0.686996255763564 0.203084343314265 0.109919400922170 1.28 4.33 8 1.28 1.71 1.8
"76" 37935 1 3 0 3 "1" "O" "INTER" "ANCONA" 0.785656728257258 0.146655922877868 0.0676873488648737 1.12 6 13 1.12 2.21 1.45
"77" 37935 1 1 1 0 "0" "U" "REGGINA" "MODENA" 0.451176281029427 0.314212052624120 0.234611666346453 1.95 2.8 3.75 2.8 1.65 1.87
"78" 37935 1 2 2 0 "0" "O" "PERUGIA" "LECCE" 0.490568241551753 0.284996787761016 0.224434970687231 1.83 3.15 4 3.15 NA NA
"79" 37935 1 2 0 2 "1" "U" "ROMA" "LAZIO" 0.391608391534452 0.31468531481471 0.293706293650839 2.25 2.8 3 2.25 1.87 1.65
"80" 37935 1 0 0 0 "0" "U" "PARMA" "MILAN" 0.283319847327954 0.308172465684111 0.408507686987935 3.1 2.85 2.15 2.85 1.65 1.87
"81" 37935 1 1 2 -1 "-1" "O" "SIENA" "CHIEVO" 0.382477626283954 0.314178049816223 0.303344323899823 2.3 2.8 2.9 2.9 1.71 1.8
"82" 37948 1 6 0 6 "1" "O" "INTER" "REGGINA" 0.694475965589637 0.207525759388546 0.0979982750218176 1.27 4.25 9 1.27 1.84 1.67
"83" 37948 1 0 2 -2 "-1" "U" "MODENA" "JUVENTUS" 0.187568958930728 0.293858035981384 0.518573005087889 4.7 3 1.7 1.7 1.71 1.8
"84" 37949 1 0 4 -4 "-1" "O" "BOLOGNA" "ROMA" 0.196305644740817 0.304612207478285 0.499082147780897 4.5 2.9 1.77 1.77 1.71 1.8
"85" 37949 1 0 2 -2 "-1" "U" "CHIEVO" "MILAN" 0.231442869209752 0.293160967079364 0.475396163710884 3.8 3 1.85 1.85 1.73 1.78
"86" 37949 1 3 1 2 "1" "O" "LAZIO" "PERUGIA" NA NA NA NA NA NA NA NA NA
"87" 37949 1 1 1 0 "0" "U" "ANCONA" "BRESCIA" 0.352270026022134 0.309008794771708 0.338721179206158 2.5 2.85 2.6 2.85 1.68 1.83
"88" 37949 1 1 0 1 "1" "U" "EMPOLI" "PARMA" 0.244215938624276 0.293059125821624 0.4627249355541 3.6 3 1.9 3.6 1.83 1.68
"89" 37949 1 0 0 0 "0" "U" "LECCE" "SAMPDORIA" 0.382477626283954 0.314178049816223 0.303344323899823 2.3 2.8 2.9 2.8 1.65 1.87
"90" 37949 1 1 1 0 "0" "U" "UDINESE" "SIENA" 0.529019741577258 0.284988054290807 0.185992204131936 1.67 3.1 4.75 3.1 1.8 1.71
"91" 37955 1 1 3 -2 "-1" "O" "JUVENTUS" "INTER" 0.50243427434046 0.293086659958663 0.204479065700877 1.75 3 4.3 4.3 1.71 1.8
"92" 37955 1 3 0 3 "1" "O" "SIENA" "LAZIO" 0.266666666725333 0.314285714260571 0.419047619014095 3.3 2.8 2.1 3.3 1.71 1.8
"93" 37956 1 1 1 0 "0" "U" "PERUGIA" "EMPOLI" 0.490857681759385 0.292931196783531 0.216211121457084 1.85 3.1 4.2 3.1 NA NA
"94" 37956 1 2 0 2 "1" "U" "SAMPDORIA" "ANCONA" 0.62937062907487 0.244755244933933 0.125874125991198 1.4 3.6 7 1.4 1.78 1.73
"95" 37956 1 3 1 2 "1" "O" "PARMA" "CHIEVO" 0.487980769560156 0.302884615165024 0.209134615274820 1.8 2.9 4.2 1.8 1.76 1.75
"96" 37956 1 3 1 2 "1" "O" "ROMA" "LECCE" 0.76632801143017 0.160232220804100 0.07343976776573 1.15 5.5 12 1.15 2.34 1.4
"97" 37956 1 1 2 -1 "-1" "O" "BRESCIA" "UDINESE" 0.365865270286428 0.331349678865945 0.302785050847627 2.4 2.65 2.9 2.9 1.71 1.8
"98" 37956 1 2 0 2 "1" "U" "MILAN" "MODENA" 0.735294117569204 0.176470588287197 0.0882352941435986 1.2 5 10 1.2 2 1.56
