"E" "q1" "qx"
"1" 0 2.2 2.8
"2" 0 1.52 3.15
"3" 0 2.6 3
"4" 1 1.2 4.75
"5" 1 1.3 4
"6" 0 2.15 2.8
"7" 1 1.18 4.85
"8" 0 2.35 3
"9" 0 4.75 3.1
"10" 0 2.95 2.9
"11" 1 1.26 4.5
"12" 1 1.28 4.3
"13" 0 1.9 2.8
"14" 0 4.3 3.1
"15" 0 2.45 2.75
"16" 1 1.6 3.2
"17" 1 1.8 2.85
"18" 0 4.5 3
"19" 1 1.95 2.9
"20" 0 2.2 2.8
"21" 0 1.38 3.75
"22" 0 3.6 3.1
"23" 0 1.95 2.85
"24" 0 1.95 2.75
"25" 0 2.3 2.85
"26" 1 2.05 2.75
"27" 0 1.65 3.15
"28" 0 3.15 3
"29" 0 4.35 3
"30" 1 2.5 2.7
"31" 0 5 3.2
"32" 1 1.13 5.5
"33" 1 1.8 3
"34" 0 1.5 3.3
"35" 1 1.21 4.75
"36" 1 1.75 2.95
"37" 0 2.6 2.8
"38" 0 2.1 2.75
"39" 1 1.7 3.05
"40" 0 1.8 2.8
"41" 0 2.05 2.8
"42" 1 1.3 4
"43" 0 4.5 2.95
"44" 0 2.9 2.9
"45" 1 1.6 3.2
"46" 0 3.85 2.85
"47" 0 7 3.55
"48" 1 1.75 2.9
"49" 1 1.55 3.4
"50" 1 1.45 3.5
"51" 0 1.9 2.85
"52" 1 1.8 3
"53" 0 1.75 2.85
"54" 1 2.05 2.75
"55" 1 1.75 2.9
"56" 0 2.7 2.85
"57" 1 1.45 3.4
"58" 1 1.25 4.3
"59" 0 1.5 3.35
"60" 0 2.25 2.8
"61" 0 2.2 2.9
"62" 1 1.5 3.3
"63" 0 3.45 2.9
"64" 0 2.75 2.8
"65" 0 2.3 2.75
"66" 1 NA NA
"67" 0 3.5 3
"68" 0 2.75 2.8
"69" 0 2.1 2.75
"70" 1 1.15 5.5
"71" 0 2.45 2.9
"72" 1 1.7 2.9
"73" 0 1.95 2.85
"74" 1 1.4 3.55
"75" 1 1.28 4.33
"76" 1 1.12 6
"77" 0 1.95 2.8
"78" 0 1.83 3.15
"79" 1 2.25 2.8
"80" 0 3.1 2.85
"81" 0 2.3 2.8
"82" 1 1.27 4.25
"83" 0 4.7 3
"84" 0 4.5 2.9
"85" 0 3.8 3
"86" 1 NA NA
"87" 0 2.5 2.85
"88" 1 3.6 3
"89" 0 2.3 2.8
"90" 0 1.67 3.1
"91" 0 1.75 3
"92" 1 3.3 2.8
"93" 0 1.85 3.1
"94" 1 1.4 3.6
"95" 1 1.8 2.9
"96" 1 1.15 5.5
"97" 0 2.4 2.65
"98" 1 1.2 5
"99" 0 1.9 2.7
"100" 1 2.75 2.9
"101" 0 5.5 3.25
"102" 1 NA NA
"103" 0 1.9 2.7
"104" 1 1.8 2.8
"105" 0 3 2.85
"106" 1 1.57 3
"107" 1 1.57 3
"108" 0 4.5 3
"109" 0 2.4 2.6
"110" 1 1.6 2.95
"111" 0 2.4 2.75
"112" 0 4.1 3
"113" 0 4.4 3.15
"114" 1 1.18 5.2
"115" 1 1.75 2.85
"116" 1 1.5 3.35
"117" 0 1.4 3.6
"118" 0 6 3.6
"119" 0 1.31 4
"120" 0 1.76 2.75
"121" 0 2.05 2.6
"122" 0 6 3.35
"123" 1 2.5 2.9
"124" 1 1.4 3.6
"125" 0 1.76 2.75
"126" 1 1.2 5.5
"127" 1 1.2 5.5
"128" 0 2.85 2.85
"129" 0 2.2 2.8
"130" 1 1.65 3.2
"131" 1 2.2 2.7
"132" 0 2 2.9
"133" 1 3.25 2.95
"134" 0 2 2.8
"135" 1 3.5 3.1
"136" 0 2.15 2.85
"137" 1 1.9 2.65
"138" 0 4.5 2.95
"139" 0 4 2.9
"140" 1 1.7 3.1
"141" 0 1.48 3.4
"142" 0 2.2 2.6
"143" 1 1.21 4.75
"144" 0 2.95 3
"145" 0 2.25 2.85
"146" 1 1.18 5
"147" 0 1.15 5.5
"148" 1 1.4 3.55
"149" 1 2.3 2.7
"150" 0 2.6 3.2
"151" 0 4.5 2.95
"152" 0 1.8 2.85
"153" 1 1.7 2.85
"154" 1 1.65 3
"155" 1 1.07 7
"156" 0 3.85 2.9
"157" 1 1.95 2.7
"158" 0 6 3.1
"159" 0 2.85 2.9
"160" 0 1.75 2.75
"161" 0 1.3 4
"162" 1 1.2 5
"163" 1 1.85 2.85
"164" 1 4 2.85
"165" 1 1.3 4.1
"166" 1 1.26 4.5
"167" 0 4.5 2.9
"168" 0 2.45 2.8
"169" 0 2.45 3
"170" 0 1.65 3
"171" 1 1.6 3
"172" 0 1.8 2.65
"173" 0 1.7 3.1
"174" 0 2.2 2.65
"175" 0 2.9 2.9
"176" 0 2.55 2.9
"177" 1 2.4 2.85
"178" 1 2.1 2.7
"179" 1 1.4 3.85
"180" 1 1.12 6
"181" 1 1.33 4
"182" 0 2.2 2.9
"183" 0 1.37 3.75
"184" 0 7.5 4.25
"185" 1 1.2 5
"186" 0 1.75 2.7
"187" 0 2.35 2.9
"188" 0 5 3.25
"189" 0 2.3 2.6
"190" 1 2.15 2.95
"191" 0 1.95 2.9
"192" 0 1.85 2.9
"193" 0 4 2.85
"194" 1 1.36 3.85
"195" 0 1.67 3.2
"196" 0 3.1 3
"197" 1 1.2 5
"198" 0 1.85 2.95
"199" 1 2.6 2.9
"200" 0 2 2.85
"201" 0 2.5 2.9
"202" 1 1.8 2.9
"203" 1 1.9 3
"204" 1 2.45 2.9
"205" 0 3.4 2.9
"206" 1 1.07 6.5
"207" 0 1.4 3.6
"208" 0 3.85 2.85
"209" 0 2.3 2.8
"210" 0 1.75 3
"211" 0 1.65 3.1
"212" 1 1.3 4
"213" 0 1.75 2.85
"214" 0 2.8 2.8
"215" 1 1.7 3.3
"216" 1 1.8 2.8
"217" 0 2.1 2.85
"218" 0 1.6 3.2
"219" 0 1.95 2.75
"220" 0 5 3.25
"221" 0 2.4 2.8
"222" 0 1.85 2.85
"223" 1 1.35 3.85
"224" 0 1.5 3.45
"225" 1 1.3 4
"226" 0 2.75 2.8
"227" 0 2.05 2.9
"228" 0 6 3.5
"229" 0 2.45 2.65
"230" 0 2 2.8
"231" 0 1.8 2.8
"232" 1 2.15 2.7
"233" 1 3 2.85
"234" 0 3.35 2.85
"235" 0 1.26 4.25
"236" 1 1.7 2.9
"237" 1 1.28 4.25
"238" 1 2.6 2.65
"239" 1 1.26 4.25
"240" 0 1.7 2.9
"241" 0 2.95 2.9
"242" 0 1.33 3.85
"243" 0 3.85 3
"244" 0 1.8 2.7
"245" 0 5.3 3.2
"246" 1 1.33 3.85
"247" 1 2.45 2.85
"248" 1 2.1 3
"249" 0 6 3.1
"250" 1 1.95 2.7
"251" 0 2.25 2.85
"252" 1 6 3.4
"253" 0 1.9 2.6
"254" 1 1.2 5
"255" 0 2.4 2.7
"256" 1 2 2.9
"257" 1 1.7 3
"258" 0 2.4 2.6
"259" 1 1.6 3.15
"260" 0 3.4 3.15
"261" 0 4.6 2.9
"262" 1 2.35 2.8
"263" 0 1.95 2.55
"264" 0 4.3 2.9
"265" 0 2.75 2.9
"266" 1 1.55 3.4
"267" 1 1.36 3.85
"268" 0 2.25 2.7
"269" 1 1.07 7
"270" 0 2.7 2.9
"271" 0 2.65 2.6
"272" 1 2.5 2.65
"273" 0 4.35 2.5
"274" 0 3.75 2.8
"275" 0 1.85 3
"276" 0 NA NA
"277" 0 1.33 3.8
"278" 1 1.4 3.65
"279" 1 NA NA
"280" 1 1.07 7
"281" 0 1.35 3.85
"282" 1 3.4 2.9
"283" 1 NA NA
"284" 0 2.05 2.7
"285" 1 3.4 2.9
"286" 1 2.2 2.8
"287" 0 2.15 2.5
"288" 1 NA NA
"289" 0 1.8 3.45
"290" 1 1.8 3.2
"291" 0 2.2 2.4
"292" 1 NA NA
"293" 0 NA NA
"294" 0 1.95 2.9
"295" 1 NA NA
"296" 1 1.75 3
"297" 1 NA NA
"298" 1 1.4 3.1
"299" 0 1.9 2.7
"300" 0 3.65 4.5
"301" 0 2.5 2.4
"302" 1 1.8 4.5
"303" 1 2 2.2
"304" 1 NA NA
"305" 1 1.4 2.7
"306" 1 2 2.2
