"pilota" "primaguida"	"Scuderia"	"Tempoora"	"gp"
"DE_LA_ROSA"	1	"(Arrows)"	01.32,323	"AUSTRALIA "
"DE_LA_ROSA"	1	"(Arrows)"	00.01.16	"BRASILE "
"DE_LA_ROSA"	1	"(Arrows)"	01.26,349	"SANMARINO"
"DE_LA_ROSA"	1	"(Arrows)"	01.28,135	"GRAN BRETAGNA"
"DE_LA_ROSA"	1	"(Arrows)"	01.22,185	"SPAGNA"
"DE_LA_ROSA"	1	"(Arrows)"	01.19,024	"EUROPA"
"DE_LA_ROSA"	1	"(Arrows)"	01.21,832	"MONACO (MONTECARLO)"
"DE_LA_ROSA"	1	"(Arrows)"	01.19,912	"CANADA "
"DE_LA_ROSA"	1	"(Arrows)"	01.17,279	"FRANCIA"
"DE_LA_ROSA"	1	"(Arrows)"	01.11,978	"AUSTRIA "
"DE_LA_ROSA"	1	"(Arrows)"	01.47,786	"GERMANIA"
"DE_LA_ROSA"	1	"(Arrows)"	01.19,897	"UNGHERIA "
"DE_LA_ROSA"	1	"(Arrows)"	01.53,237	"BELGIAN"
"DE_LA_ROSA"	1	"(Arrows)"	01.24,814	"ITALIAN"
"DE_LA_ROSA"	1	"(Arrows)"	01.16,143	"USA "
"DE_LA_ROSA"	1	"(Arrows)"	01.37,652	"GIAPPONE "
"DE_LA_ROSA"	1	"(Arrows)"	01.39,443	"MALESIA "
"VERSTAPPEN"		"(Arrows)"	00.01.32	"AUSTRALIA "
"VERSTAPPEN"		"(Arrows)"	01.15,704	"BRASILE "
"VERSTAPPEN"		"(Arrows)"	01.26,845	"SANMARINO"
"VERSTAPPEN"		"(Arrows)"	01.26,793	"GRAN BRETAGNA"
"VERSTAPPEN"		"(Arrows)"	01.22,421	"SPAGNA"
"VERSTAPPEN"		"(Arrows)"	01.19,19	"EUROPA"
"VERSTAPPEN"		"(Arrows)"	01.21,738	"MONACO (MONTECARLO)"
"VERSTAPPEN"		"(Arrows)"	01.20,107	"CANADA "
"VERSTAPPEN"		"(Arrows)"	01.17,933	"FRANCIA"
"VERSTAPPEN"		"(Arrows)"	01.11,905	"AUSTRIA "
"VERSTAPPEN"		"(Arrows)"	01.48,321	"GERMANIA"
"VERSTAPPEN"		"(Arrows)"	01.20,609	"UNGHERIA "
"VERSTAPPEN"		"(Arrows)"	01.53,912	"BELGIAN"
"VERSTAPPEN"		"(Arrows)"	01.24,82	"ITALIAN"
"VERSTAPPEN"		"(Arrows)"	01.15,808	"USA "
"VERSTAPPEN"		"(Arrows)"	01.37,674	"GIAPPONE "
"VERSTAPPEN"		"(Arrows)"	01.39,489	"MALESIA "
"VILLENEUVE"	1	"(BAR)"	01.31,968	"AUSTRALIA "
