ALTEZZA PESO TORACE CRANIO BISACROM BITROCAN SPAN
158 42 70 50 32 24 155
150 43 74 50 34 25 152
149 43 74 50 33 25 147
144 32 68 50 35 22 146
141 34 70 50 33 23 137
131 25 61 50 30 22 132
145 36 71 51 32 24 146
129 23 62 51 26 21 128
130 30 65 51 30 23 130
145 34 70 51 35 24 150
146 37 74 51 32 24 145
159 48 78 51 37 30 158
159 41 71 51 34 27 159
145 33 68 51 31 25 146
143 36 68 51 33 24 147
143 36 71 51 33 21 153
143 30 63 51 31 22 145
136 28 66 51 30 21 135
134 33 72 51 33 25 134
140 36 69 51 31 25 140
151 35 68 51 33 24 146
137 31 65 51 32 22 136
142 37 70 51 34 24 144
137 32 67 51 31 24 140
141 30 65 51 30 23 144
141 32 70 51 31 24 143
138 28 64 51 31 21 140
139 30 69 51 29 23 142
138 31 70 51 33 24 143
130 25 60 52 29 21 126
134 30 62 52 30 23 132
133 30 64 52 29 22 130
132 30 62 52 31 23 132
134 30 61 52 29 22 132
133 28 67 52 28 22 138
133 34 70 52 33 23 138
143 30 64 52 31 23 143
143 30 65 52 30 22 145
159 44 74 52 36 26 161
146 40 71 52 34 25 145
149 35 68 52 32 22 147
140 30 62 52 30 21 144
135 30 62 52 28 22 130
135 29 66 52 32 24 134
135 30 66 52 30 22 134
147 41 70 52 32 26 147
143 43 78 52 37 29 148
146 42 68 52 32 26 148
150 35 68 52 33 26 151
138 34 71 52 32 22 141
135 30 66 52 30 20 135
147 36 68 52 31 25 147
146 38 71 52 33 25 145
147 49 81 52 34 29 147
140 31 67 52 31 24 140
146 35 68 52 32 23 149
147 37 72 52 33 24 143
140 39 72 52 32 24 140
141 30 64 52 29 22 137
136 33 67 52 32 24 149
155 57 80 52 36 31 160
150 51 95 52 36 28 156
155 40 73 52 34 26 154
148 38 70 52 32 25 150
145 35 67 52 32 23 147
141 36 72 52 32 23 141
145 32 65 52 30 23 142
141 35 67 52 31 24 136
142 37 77 52 31 23 146
145 34 70 52 32 24 148
137 28 62 52 30 22 134
159 36 68 52 34 27 152
143 35 69 52 32 24 142
148 36 67 52 32 23 156
142 32 67 52 31 22 148
156 45 75 52 33 27 152
145 36 63 52 29 26 143
150 35 68 52 33 23 148
145 30 69 52 31 22 145
140 30 65 52 32 22 142
145 37 73 52 34 25 144
148 37 72 52 33 24 148
144 34 70 52 33 24 152
147 34 67 52 30 23 148
142 32 67 52 29 24 138
154 39 71 52 35 26 146
144 48 78 52 32 26 142
154 43 75 52 37 28 155
137 41 73 52 33 25 138
148 38 71 52 32 26 151
147 31 61 52 30 24 144
150 40 75 52 37 27 151
143 32 66 52 31 24 146
149 38 71 52 32 25 150
143 33 64 52 33 23 153
138 30 63 52 30 23 135
149 69 99 52 36 33 155
139 30 65 52 32 23 142
150 39 71 52 34 26 148
138 31 63 52 29 24 160
143 38 73 52 33 23 140
141 31 67 52 30 23 138
154 49 78 53 34 28 152
137 35 68 53 31 24 144
152 35 67 53 31 24 150
154 42 73 53 39 25 156
138 39 72 53 31 24 138
138 45 88 53 32 26 144
137 31 65 53 30 23 141
138 30 64 53 32 22 144
153 41 74 53 31 26 154
138 30 68 53 31 23 140
137 30 65 53 30 22 138
152 43 74 53 36 26 150
137 33 69 53 33 24 139
154 44 72 53 33 26 152
139 36 70 53 33 25 144
136 31 65 53 31 24 133
151 45 75 53 34 26 156
139 32 68 53 31 22 140
151 34 64 53 34 23 155
139 35 68 53 31 22 137
137 30 64 53 30 23 131
151 48 80 53 35 26 150
139 34 71 53 33 24 137
152 42 74 53 34 26 158
139 36 68 53 32 25 142
139 31 66 53 30 24 135
137 30 60 53 29 25 157
174 45 73 53 38 26 174
140 55 66 53 33 24 148
137 35 66 53 30 23 133
169 49 77 53 37 29 166
152 35 70 53 32 25 157
154 38 71 53 34 24 150
137 33 67 53 32 24 143
140 31 61 53 30 21 139
151 41 74 53 34 26 150
137 30 62 53 29 22 135
136 35 70 53 31 21 135
136 36 68 53 31 24 142
136 30 66 53 31 20 140
151 43 74 53 31 25 150
135 30 63 53 31 22 135
135 30 65 53 31 21 138
154 48 80 53 35 27 153
135 30 66 53 32 22 146
155 42 74 53 36 26 171
151 39 73 53 32 25 154
153 38 69 53 35 26 160
155 41 71 53 34 28 156
154 59 81 53 35 29 155
134 30 60 53 31 20 131
127 26 61 53 29 20 125
154 46 78 53 35 26 159
165 80 98 53 40 35 170
140 35 70 53 30 22 142
138 29 66 53 29 28 134
152 46 77 53 33 25 148
144 40 72 53 31 25 141
146 49 80 53 35 26 150
151 45 74 53 33 26 152
140 35 67 53 33 23 143
141 45 77 53 33 27 139
128 21 63 53 27 21 138
141 49 79 53 32 27 147
165 43 73 53 34 28 165
159 52 78 53 35 28 162
141 40 71 53 34 25 145
141 37 70 53 32 26 148
146 35 70 53 34 25 148
144 34 66 53 31 23 142
146 37 69 53 32 25 154
147 37 70 53 36 25 152
141 37 70 53 34 24 139
147 47 74 53 34 27 147
146 40 73 53 32 25 137
