"SSD" "CFU" "LAUREA" "MATERIA" "STUDIO_TOT" "RAPP_CFU" "VOTO" "LEZIONI" "STUDIO_PERS"
"1433" "INF/01" 6 "sigad" "14292" 55 0.366666667 23 0 35
"878" "MAT/06" 10 "sse" "14040" 108 0.432 24 54 54
"348" "MAT/06" 10 "sse" "14040" 186 0.744 20 6 180
"1195" "SECS-P/01" 10 "sse" "14380" 782 3.128 23 50 720
"433" "SECS-S/01" 10 "sse" "14452" 1278 5.112 22 66 1152
"1054" "SECS-S/01" 12 "sse" "14450" 1643 5.476666667 18 48 1575
"1041" "SECS-S/01" 9 "siap" "10180" 240 1.066666667 25 70 110
"1366" "SECS-S/05" 5 "siap" "10148" 270 2.16 24 40 200
"295" "SECS-P/07" 6 "sigad" "14198" 108 0.72 23 48 60
"1323" "MAT/06" 8 "sigad" "14044" 60 0.3 30 20 40
"1517" "INF/01" 2 "sigad" "14350" 164 3.28 28 32 20
"625" "SECS-S/01" 12 "sse" "14452" 410 1.366666667 30 66 320
"1225" "SECS-S/01" 10 "sse" "14454" 392 1.568 30 70 280
"685" "MAT/02" 6 "sse" "14270" 255 1.7 20 65 160
"1229" "SECS-S/01" 10 "sse" "14454" 165 0.66 27 50 90
"1479" "SECS-S/04" 5 "sigad" "14110" 50 0.4 28 20 20
"639" "SECS-S/01" 12 "sse" "14452" 1002 3.34 24 70 864
"1079" "SECS-S/05" 9 "siap" "10184" 180 0.8 28 70 90
"9" "MAT/06" 9 "siap" "10064" 170 0.755555556 18 70 84
"1149" "SECS-S/01" 10 "sse" "14452" 1180 4.72 27 50 720
"1606" "SECS-S/1" 10 "sse" "14484" 322 1.288 30 72 240
"1194" "SECS-P/01" 10 "sse" "14380" 370 1.48 28 20 300
"275" "SECS-S/05" 5 "sigad" "14490" 102 0.816 28 24 36
"538" "SECS-S/01" 12 "sse" "14452" 1720 5.733333333 20 72 1620
"454" "SECS-S/05" 10 "sse" "14540" 224 0.896 27 64 144
"1320" "SECS-S/05" 5 "siap" "10176" 104 0.832 30 35 60
"365" "SECS-S/04" 10 "sse" "14100" 159 0.636 25 15 144
"1560" "SECS-S/05" 10 "sse" "14540" 200 0.8 25 30 120
"250" "INF/01" 2 "sigad" "14350" 182 3.64 27 24 112
"708" "MAT/02" 6 "sse" "14270" 506 3.373333333 18 62 400
"8" "MAT/06" 9 "siap" "10064" 186 0.826666667 20 70 80
"1226" "SECS-S/01" 10 "sse" "14454" 366 1.464 31 50 276
"1414" "INF/01" 6 "sigad" "14292" 42 0.28 18 0 32
"568" "SECS-S/01" 12 "sse" "14450" 190 0.633333333 28 80 54
"570" "SECS-S/01" 12 "sse" "14450" 166 0.553333333 19 60 36
"341" "MAT/06" 10 "sse" "14040" 310 1.24 18 60 180
"12" "MAT/06" 9 "siap" "10064" 128 0.568888889 24 70 24
"1503" "SECS-S/01" 9 "sigad" "14554" 222 0.986666667 28 46 150
"972" "SECS-S/01" 9 "siap" "10180" 310 1.377777778 19 70 200
"1271" "SECS-S/05" 5 "sse" "14544" 81 0.648 26 35 36
"1584" "SECS-S/05" 5 "siap" "10176" 143 1.144 26 48 75
"628" "SECS-S/01" 12 "sse" "14452" 294 0.98 27 70 200
"392" "SECS-S/03" 10 "sse" "14080" 4850 19.4 30 50 4800
"819" "SECS-S/05" 9 "siap" "10184" 235 1.044444444 30 70 150
"1044" "SECS-S/01" 12 "sse" "14450" 140 0.466666667 24 0 140
"373" "SECS-S/03" 8 "sse" "14304" 260 1.3 27 20 240
"166" "IUS/01" 4 "sigad" "14116" 30 0.3 30 8 20
"47" "SECS-S/04" 8 "siap" "10066" 67 0.335 24 52 15
"56" "SECS-S/01" 9 "siap" "10182" 406 1.804444444 22 70 336
"586" "SECS-S/01" 10 "sse" "14484" 170 0.68 28 50 100
"486" "SECS-S/05" 10 "sse" "14540" 153 0.612 25 56 75
"1592" "SECS-S/04" 10 "sse" "14100" 64 0.256 28 46 18
"379" "SECS-S/03" 8 "sse" "14304" 498 2.49 27 48 450
"104" "SECS-S/01" 5 "siap" "10168" 50 0.4 22 34 12
"187" "IUS/01" 4 "sigad" "14116" 114 1.14 28 30 80
"892" "MAT/06" 10 "sse" "14040" 169 0.676 20 54 105
"453" "SECS-S/05" 10 "sse" "14540" 134 0.536 31 66 54
"1611" "SECS-S/1" 10 "sse" "14484" 192 0.768 30 60 92
"1388" "IUS/01" 4 "siap" "14116" 45 0.45 28 35 0
"1344" "INF/01" 2 "sigad" "14350" 80 1.6 29 24 42
"1357" "L-LIN/12" 11 "sse" "15484" 164 0.596363636 25 80 60
"1047" "SECS-S/01" 12 "sse" "14450" 150 0.5 28 59 56
"626" "SECS-S/01" 12 "sse" "14452" 148 0.493333333 27 76 36
"417" "SECS-S/01" 10 "sse" "14452" 104 0.416 27 60 32
"1127" "SECS-S/03" 10 "sse" "14080" 159 0.636 27 64 45
"247" "SECS-S/01" 8 "sigad" "14552" 300 1.5 21 60 210
"1430" "INF/01" 6 "sigad" "14292" 86 0.573333333 30 36 16
"942" "MAT/06" 10 "sse" "14040" 270 1.08 28 54 216
"797" "SECS-S/01" 12 "sse" "14450" 510 1.7 27 70 300
"1245" "SECS-S/05" 5 "siap" "10176" 165 1.32 20 35 125
"832" "MAT/06" 9 "siap" "10064" 200 0.888888889 18 80 100
"1392" "SECS-P/07" 6 "sigad" "14198" 80 0.533333333 27 44 32
"179" "SECS-S/05" 8 "sigad" "14542" 129 0.645 28 62 63
"1058" "SECS-S/03" 8 "sse" "14304" 184 0.92 30 40 138
"1514" "INF/01" 2 "sigad" "14350" 64 1.28 31 12 20
"757" "MAT/06" 8 "sse" "14510" 107 0.535 31 60 35
"416" "SECS-S/01" 10 "sse" "14452" 218 0.872 25 58 120
"1203" "SECS-P/03" 5 "sigad" "14202" 180 1.44 18 32 60
"6" "MAT/06" 9 "siap" "10064" 360 1.6 22 100 200
"807" "SECS-S/01" 10 "sse" "14484" 283 1.132 30 68 180
"170" "IUS/01" 4 "sigad" "14116" 62 0.62 30 16 30
"774" "SECS-S/01" 10 "sse" "14452" 232 0.928 28 72 120
"676" "SECS-S/03" 10 "sse" "14456" 150 0.6 30 70 80
"439" "L-LIN/12" 11 "sse" "15484" 238 0.865454545 24 10 200
"877" "SECS-P/07" 10 "sse" "14178" 210 0.84 25 70 130
"863" "MAT/06" 9 "siap" "10064" 452 2.008888889 25 60 360
"502" "SECS-S/05" 10 "sse" "14540" 108 0.432 26 0 108
"1313" "SECS-S/01" 12 "sse" "14452" 254 0.846666667 30 66 168
"317" "MAT/06" 10 "sse" "14040" 49 0.196 27 0 49
"872" "SECS-P/07" 10 "sse" "14178" 162 0.648 24 70 75
"248" "SECS-S/01" 8 "sigad" "14552" 244 1.22 30 48 160
"1144" "SECS-S/03" 8 "sse" "14304" 175 0.875 30 0 175
"326" "MAT/06" 10 "sse" "14040" 280 1.12 26 40 240
"1566" "SECS-S/05" 5 "sigad" "14370" 138 1.104 27 44 84
"943" "MAT/06" 10 "sse" "14040" 310 1.24 23 135 140
"276" "SECS-S/05" 5 "sigad" "14444" 50 0.4 25 30 10
"1061" "SECS-S/03" 8 "sse" "14304" 230 1.15 30 70 150
"557" "MAT/05" 12 "sse" "14030" 615 2.05 27 60 500
"1427" "INF/01" 6 "sigad" "14292" 105 0.7 21 36 40
"1449" "MAT/06" 8 "sigad" "14044" 135 0.675 22 40 80
"1057" "SECS-S/03" 8 "sse" "14304" 63 0.315 26 0 63
"656" "SECS-S/05" 10 "sse" "14540" 120 0.48 31 56 60
"562" "MAT/05" 12 "sse" "14030" 430 1.433333333 18 80 300
"101" "SECS-S/04" 8 "siap" "10066" 111 0.555 25 60 45
"422" "SECS-S/01" 10 "sse" "14452" 308 1.232 28 64 200
"1410" "SECS-P/07" 6 "sigad" "14198" 113 0.753333333 28 38 75
"183" "MED/01" 5 "sigad" "14228" 23 0.184 27 3 0
"1327" "MAT/02" 6 "sigad" "14034" 240 1.6 21 30 200
"355" "SECS-S/05" 5 "sse" "14544" 76 0.608 30 28 40
"1526" "SECS-S/3" 4 "sigad" "14070" 102 1.02 19 30 72
"42" "SECS-S/04" 8 "siap" "10066" 136 0.68 24 46 90
"1124" "SECS-S/03" 10 "sse" "14080" 204 0.816 28 64 140
"32" "SECS-S/01" 5 "siap" "10168" 88 0.704 30 34 54
"884" "MAT/06" 10 "sse" "14040" 112 0.448 24 40 72
"1398" "SECS-P/07" 6 "sigad" "14198" 96 0.64 20 0 96
"689" "MAT/02" 6 "sse" "14270" 293 1.953333333 22 88 160
"281" "SECS-P/07" 6 "sigad" "14198" 254 1.693333333 27 38 216
"1254" "SECS-S/05" 5 "siap" "14368" 104 0.832 28 34 60
"855" "L-LIN/12" 11 "siap" "10140" 98 0.356363636 25 54 18
"1544" "SECS-S/3" 4 "sigad" "14070" 100 1 24 30 60
"7" "MAT/06" 9 "siap" "10064" 214 0.951111111 25 70 100
"340" "MAT/06" 10 "sse" "14040" 283 1.132 19 60 160
"1143" "SECS-S/03" 8 "sse" "14304" 175 0.875 30 0 175
"761" "SECS-S/01" 10 "sse" "14452" 630 2.52 20 0 630
"1406" "SECS-P/07" 6 "sigad" "14198" 36 0.24 30 36 0
"1243" "SECS-S/05" 5 "sigad" "10176" 180 1.44 25 35 125
"1548" "SECS-P/08" 5 "sigad" "14204" 64 0.512 27 30 24
"536" "SECS-S/01" 12 "sse" "14452" 206 0.686666667 21 70 108
"1442" "SECS-S/04" 5 "sse" "14100" 101 0.808 25 10 81
"1331" "SECS-S/04" 8 "siap" "10066" 142 0.71 22 62 80
"234" "SECS-S/01" 8 "sigad" "14552" 125 0.625 22 35 70
"98" "SECS-S/04" 8 "siap" "10066" 200 1 25 70 120
"1334" "INF/01" 2 "sigad" "14350" 197 3.94 24 24 144
"1586" "SECS-S/05" 5 "sse" "14544" 130 1.04 30 35 75
"1408" "SECS-P/07" 6 "sigad" "14198" 174 1.16 30 30 144
"116" "SECS-S/01" 5 "siap" "10168" 170 1.36 22 40 90
"1289" "SECS-P/08" 5 "sigad" "14204" 73 0.584 23 15 40
"1520" "MAT/06" 8 "sigad" "14044" 178 0.89 24 48 96
"1386" "IUS/01" 4 "sigad" "14116" 52 0.52 30 20 8
"328" "MAT/06" 10 "sse" "14040" 357 1.428 25 60 252
"875" "SECS-P/07" 10 "sse" "14178" 130 0.52 23 70 50
"627" "SECS-S/01" 12 "sse" "14452" 330 1.1 30 65 245
"1010" "SECS-S/01" 5 "siap" "10168" 416 3.328 27 35 375
"1224" "SECS-S/01" 10 "sse" "14454" 160 0.64 23 20 120
"270" "MAT/05" 8 "sigad" "14050" 792 3.96 27 48 720
"810" "SECS-S/01" 10 "sse" "14484" 285 1.14 30 70 180
"1502" "SECS-S/01" 12 "sse" "14452" 60 0.2 25 60 0
"1360" "SECS-S/01" 8 "sigad" "14552" 742 3.71 18 48 660
"1155" "SECS-P/01" 2 "siap" "10152" 166 3.32 28 66 100
"288" "SECS-P/07" 6 "sigad" "14198" 80 0.533333333 18 30 10
"1312" "SECS-S/01" 12 "sse" "14452" 915 3.05 22 0 900
"574" "SECS-S/01" 12 "sse" "14450" 140 0.466666667 21 50 40
"1582" "SECS-S/05" 5 "siap" "10176" 90 0.72 28 30 50
"610" "SECS-S/01" 10 "sse" "14458" 429 1.716 25 65 350
"1515" "INF/01" 2 "sigad" "14350" 101 2.02 28 25 48
"1598" "SECS-S/01" 10 "sse" "14484" 240 0.96 26 60 140
"962" "L-LIN/12" 11 "sse" "15484" 175 0.636363636 27 70 80
"435" "SECS-S/01" 10 "sse" "14452" 406 1.624 28 70 300
"748" "SECS-S/05" 5 "sse" "10148" 185 1.48 21 35 150
"1184" "SECS-P/05" 10 "sse" "14160" 260 1.04 27 40 210
"950" "L-LIN/12" 11 "sse" "15484" 164 0.596363636 21 60 82
"1501" "SECS-S/01" 12 "sse" "14452" 924 3.08 27 58 840
"889" "MAT/06" 10 "sse" "14040" 114 0.456 21 44 70
"415" "SECS-S/01" 10 "sse" "14452" 420 1.68 28 100 300
"615" "SECS-S/01" 10 "sse" "14458" 324 1.296 30 68 240
"800" "SECS-S/01" 12 "sse" "14450" 129 0.43 30 70 4
"208" "SECS-S/04" 5 "sigad" "14110" 56 0.448 30 20 30
"1393" "SECS-P/07" 6 "sigad" "14198" 80 0.533333333 27 44 32
"1343" "INF/01" 2 "sigad" "14350" 28 0.56 30 22 2
"696" "MAT/02" 6 "sse" "14270" 208 1.386666667 24 50 120
"23" "SECS-S/01" 9 "siap" "10182" 464 2.062222222 26 64 400
"935" "MAT/06" 10 "sse" "14040" 160 0.64 24 60 100
"547" "MAT/05" 12 "sse" "14030" 480 1.6 24 100 280
"232" "SECS-S/01" 8 "sigad" "14552" 142 0.71 28 48 70
"34" "SECS-S/05" 9 "siap" "10184" 202 0.897777778 27 58 126
"1506" "SECS-S/01" 9 "sigad" "14554" 240 1.066666667 30 48 120
"240" "SECS-S/01" 8 "sigad" "14552" 180 0.9 25 44 96
"758" "MAT/06" 8 "sse" "14510" 198 0.99 30 16 102
"1467" "SECS-S/04" 5 "sigad" "14110" 88 0.704 24 36 40
"539" "SECS-S/01" 12 "sse" "14452" 312 1.04 25 48 240
"607" "SECS-S/01" 10 "sse" "14458" 240 0.96 27 70 150
"412" "SECS-S/01" 10 "sse" "14452" 1190 4.76 28 70 1080
"1542" "SECS-S/3" 4 "sigad" "14070" 25 0.25 20 10 15
"436" "SECS-S/01" 10 "sse" "14452" 988 3.952 30 68 880
"1244" "SECS-S/05" 5 "siap" "10176" 102 0.816 30 30 56
"560" "MAT/05" 12 "sse" "14030" 1070 3.566666667 18 80 960
"75" "SECS-S/03" 10 "sse" "14080" 136 0.544 28 66 60
"674" "SECS-S/03" 10 "sse" "14456" 190 0.76 30 70 120
"864" "SECS-S/01" 10 "sse" "14484" 162 0.648 28 61 70
"1527" "SECS-S/3" 4 "sigad" "14070" 54 0.54 18 30 24
"970" "SECS-S/01" 9 "siap" "10182" 214 0.951111111 28 60 150
"755" "SECS-S/01" 10 "sse" "14454" 854 3.416 27 68 720
"738" "SECS-S/05" 5 "sse" "14276" 204 1.632 31 62 135
"1395" "SECS-P/07" 6 "sigad" "14198" 156 1.04 24 32 120
"88" "SECS-S/05" 9 "siap" "10184" 286 1.271111111 27 66 200
"801" "SECS-S/01" 12 "sse" "14450" 285 0.95 25 70 125
"754" "SECS-S/01" 10 "sse" "14454" 818 3.272 30 68 540
"1040" "SECS-S/01" 9 "siap" "10180" 230 1.022222222 30 70 128
"230" "SECS-S/01" 8 "sigad" "14552" 243 1.215 18 44 175
"811" "SECS-S/01" 10 "sse" "14484" 215 0.86 28 50 125
"936" "MAT/06" 10 "sse" "14040" 60 0.24 26 50 10
"334" "MAT/06" 10 "sse" "14040" 310 1.24 22 50 240
"546" "MAT/05" 12 "sse" "14030" 360 1.2 18 85 240
"1568" "SECS-S/05" 5 "sigad" "14370" 78 0.624 27 30 36
"1013" "SECS-S/01" 5 "siap" "10168" 108 0.864 30 0 100
"756" "MAT/06" 8 "sse" "14510" 168 0.84 31 44 72
